Type,Title,Link
Workshops,Workshop Proposal: Contemporary Cognitive Approaches to Decision-Making,https://escholarship.org/uc/item/6sp4860j
Workshops,Understanding Exploration-Eploitation Trade-offs,https://escholarship.org/uc/item/2kq9j003
Workshops,Learning as Program Induction,https://escholarship.org/uc/item/5cn4j0n6
Workshops,Conceptual Foundations in Dynamic Field Theory: Applications in Cognitive and Developmental Science,https://escholarship.org/uc/item/5jx097kg
Workshops,Massive Online Experiments in Cognitive Science,https://escholarship.org/uc/item/54v1w1bv
Workshops,Computational Methods and Systems for the Cognitive Modelling and Support of Creativity and Creative Problem Solving,https://escholarship.org/uc/item/8ps786nn
Tutorials,Full Day Tutorial on Quantum Models of Cognition and Decision,https://escholarship.org/uc/item/5ss1h35h
Tutorials,Half Day Tutorial on Measuring Mindfulness Behaviorally: Onsite and Online Data Collection with jsPsych,https://escholarship.org/uc/item/9525r81j
Tutorials,Tutorial: Mixed Models in R - An Applied Introduction,https://escholarship.org/uc/item/4zb0b0hz
Tutorials,Statistics as Pottery: Bayesian Data Analysis using Probabilistic Programs (Tutorial),https://escholarship.org/uc/item/8hn1k8qp
Symposia,Symposium on Event Predictive Cognition,https://escholarship.org/uc/item/6ds9b46d
Symposia,The cognitive systems of visual and miltimodal narratives,https://escholarship.org/uc/item/30s2h8r9
Symposia,Dimension-based Attention in Learning and Understanding Spoken Language,https://escholarship.org/uc/item/27h194jm
Symposia,Rational Categories: Why they're Important and How they are Learned,https://escholarship.org/uc/item/22q4f3tx
Symposia,Models of Human Scientific Discovery,https://escholarship.org/uc/item/44g0x62m
Symposia,"Cognition under Pressure: Relationships between Anxiety, Executive Functions, and Mathematics",https://escholarship.org/uc/item/0s28s8wt
Symposia,Percepts and Concepts Across Cultures,https://escholarship.org/uc/item/6js350n4
Symposia,Data Visualization as a Domain to Research Areas in Cognitive Science,https://escholarship.org/uc/item/4kf989v4
Symposia,Learning-to-Learn from Novice to Expertise: New Challenges and Approaches for One of the Oldest Topics of Cognitive Science,https://escholarship.org/uc/item/50b3d647
Symposia,Strategies and Representations in Physical Inference,https://escholarship.org/uc/item/1vh4z9pc
Symposia,"Generalizations, from representations to transmission",https://escholarship.org/uc/item/7d0130zc
Symposia,"Lexical evolution, cognition, and compution",https://escholarship.org/uc/item/9tw340fc
Publication-based-Talks,A logical investigation of false-belief tasks,https://escholarship.org/uc/item/0fj9d02n
Publication-based-Talks,Comparing Markov versus quantum dynamic models of changes in confidence during evidence monitoring,https://escholarship.org/uc/item/40c21767
Publication-based-Talks,Understanding the Dynamics of Learning: The Case for Studying Interactions,https://escholarship.org/uc/item/5qc386qp
Publication-based-Talks,ICAP: How Students Engage to Learn,https://escholarship.org/uc/item/1d82g8gm
Publication-based-Talks,"Fine-Grained Event Structure Representations for Language: Aspect, Force Dynamics, Mental Spaces",https://escholarship.org/uc/item/1dd9b7sg
